,Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Start time,End time,Day,Building
0,AAS,100,30107,Intro Asian American Studies,9,8,3,0,6,0,1,1,0,0,0,0,0,0,3.62,"Lee, Sang S",600.0,650.0,W,David Kinley Hall
1,AAS,100,41729,Intro Asian American Studies,7,5,5,4,3,3,2,2,1,1,0,0,0,0,3.28,"Lee, Sang S",660.0,710.0,W,David Kinley Hall
2,AAS,100,48232,Intro Asian American Studies,22,5,0,0,2,1,0,0,0,0,0,0,0,0,3.89,"Chung, Ga Young",780.0,830.0,W,David Kinley Hall
3,AAS,100,48234,Intro Asian American Studies,16,7,0,1,2,1,1,0,1,0,0,0,0,0,3.72,"Chung, Ga Young",840.0,890.0,W,David Kinley Hall
4,AAS,100,50105,Intro Asian American Studies,12,1,5,1,1,1,1,0,0,1,0,0,0,0,3.61,"Lee, Jean Y",900.0,950.0,W,David Kinley Hall
5,AAS,120,59194,Intro to Asian Am Pop Culture,1,15,3,2,3,1,1,0,0,0,0,0,0,1,3.68,"Eng, Christopher A",600.0,650.0,TR,Armory
6,AAS,200,64396,U.S. Race and Empire,7,7,3,1,0,2,1,0,0,0,0,0,0,0,3.71,"Sharif, Lila A",1470.0,830.0,TR,David Kinley Hall
7,AAS,215,52317,US Citizenship Comparatively,1,9,1,0,2,4,2,1,1,1,0,1,3,1,2.72,"Cacho, Lisa M",570.0,650.0,TR,David Kinley Hall
8,ABE,141,54768,ABE Principles: Biological,0,18,12,10,3,3,0,0,0,0,2,0,4,0,3.24,"Bhalerao, Kaustubh",600.0,650.0,F,Agricultural Engr Sciences Bld
9,ABE,225,57089,ABE Principles: Bioenvironment,3,17,2,4,8,2,1,0,1,0,0,0,1,0,3.44,"Zhang, Yuanhui",510.0,590.0,TR,Agricultural Engr Sciences Bld
10,ABE,226,57086,ABE Principles: Bioprocessing,2,5,13,6,4,4,2,1,0,0,0,0,0,0,3.38,"Singh, Vijay",510.0,590.0,TR,Agricultural Engr Sciences Bld
11,ABE,425,39997,Engrg Measurement Systems,1,30,3,3,0,1,1,0,0,0,0,0,0,0,3.85,"Grift, Tony E",570.0,650.0,TR,Agricultural Engr Sciences Bld
12,ABE,436,47444,Renewable Energy Systems,4,8,5,12,7,5,3,1,0,0,1,0,1,0,3.21,"Wang, Xinlei",780.0,890.0,T,Agricultural Engr Sciences Bld
13,ABE,446,51916,Biological Nanoengineering,1,6,12,2,0,1,0,0,0,0,0,0,0,0,3.7,"Bhalerao, Kaustubh",900.0,1010.0,W,Agricultural Engr Sciences Bld
15,ACCY,200,30111,Fundamentals of Accounting,8,11,7,3,0,1,0,0,0,0,0,0,0,0,3.81,"Li, Wei",1020.0,1100.0,MW,Business Instructional Fac
16,ACCY,201,30112,Accounting and Accountancy I,4,5,6,3,5,6,3,5,4,0,2,0,4,1,2.65,"Gebhardt, Abbey L",480.0,530.0,F,Business Instructional Fac
17,ACCY,201,30113,Accounting and Accountancy I,4,9,7,6,5,4,0,3,2,0,6,0,1,0,2.95,"Gebhardt, Abbey L",540.0,590.0,F,Business Instructional Fac
18,ACCY,201,30115,Accounting and Accountancy I,4,7,7,7,6,3,3,3,2,0,8,0,0,1,2.87,"Jones, Brock A",1440.0,1490.0,F,Business Instructional Fac
19,ACCY,201,30116,Accounting and Accountancy I,1,4,5,4,6,7,3,3,3,0,3,0,3,2,2.6,"Pietura, Magdalena",780.0,830.0,F,Business Instructional Fac
20,ACCY,201,30117,Accounting and Accountancy I,2,4,11,5,5,3,3,3,1,0,2,0,3,2,2.87,"Pietura, Magdalena",840.0,890.0,F,Business Instructional Fac
21,ACCY,201,45631,Accounting and Accountancy I,5,10,8,6,6,3,5,1,1,0,3,0,0,2,3.2,"Jones, Brock A",600.0,650.0,F,Business Instructional Fac
22,ACCY,202,30147,Accounting and Accountancy II,2,9,0,3,6,3,3,2,2,0,0,0,0,0,3.14,"Shen, Haoqing",540.0,590.0,F,Business Instructional Fac
23,ACCY,202,30121,Accounting and Accountancy II,2,3,1,7,9,3,3,2,1,0,0,0,0,0,3.05,"Shen, Haoqing",480.0,530.0,F,Business Instructional Fac
24,ACCY,202,30123,Accounting and Accountancy II,3,3,1,5,7,3,4,0,2,0,2,0,0,1,2.93,"Valentine, Courtney M",540.0,590.0,F,Business Instructional Fac
25,ACCY,202,30140,Accounting and Accountancy II,3,4,1,7,7,2,2,1,2,0,0,0,0,0,3.15,"Silver, Paige R",540.0,590.0,F,Business Instructional Fac
26,ACCY,202,30143,Accounting and Accountancy II,4,3,2,15,4,4,1,0,0,0,1,0,1,1,3.18,"Waddock, Madeleine K",540.0,590.0,F,Business Instructional Fac
27,ACCY,202,30151,Accounting and Accountancy II,4,8,0,7,5,5,2,1,2,0,1,0,0,0,3.16,"Waddock, Madeleine K",1440.0,1490.0,F,Business Instructional Fac
28,ACCY,202,30155,Accounting and Accountancy II,3,4,2,9,7,4,1,4,1,0,0,0,0,0,3.11,"Agapito, Christina N",1440.0,1490.0,F,Business Instructional Fac
29,ACCY,202,30159,Accounting and Accountancy II,3,10,1,8,3,5,2,2,1,0,0,0,0,0,3.29,"Valentine, Courtney M",1440.0,1490.0,F,Business Instructional Fac
30,ACCY,202,30161,Accounting and Accountancy II,5,4,3,6,6,2,2,5,0,0,1,0,0,0,3.12,"Silver, Paige R",1440.0,1490.0,F,Business Instructional Fac
31,ACCY,202,30164,Accounting and Accountancy II,1,5,2,6,8,2,3,0,2,0,3,0,0,1,2.94,"Agapito, Christina N",780.0,830.0,F,Business Instructional Fac
32,ACCY,202,30168,Accounting and Accountancy II,1,4,4,3,11,5,1,2,1,0,1,0,0,0,3.03,"Coady, Jennifer J",780.0,830.0,F,Business Instructional Fac
33,ACCY,202,30171,Accounting and Accountancy II,1,4,2,12,6,0,4,2,1,0,0,0,0,0,3.13,"Chen, Monica S",780.0,830.0,F,Business Instructional Fac
