,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"104 S Mathews Ave, Urbana, IL 61801, USA",ChIJM1q0uWrXDIgRS5dFNX6-w48,"TransportationBuilding,Urbana,United States",40.1117059,-88.22520779999999,1,61801,OK,"establishment,general_contractor,point_of_interest"
1,ROOFTOP,"Lincoln Avenue Residence Hall, Urbana, IL 61801, USA",ChIJo87ZERHXDIgRdt9tNlfKh2g," LincolnAvenueResidence Hall,Urbana,United States",40.1043281,-88.2199577,1,61801,OK,subpremise
2,ROOFTOP,"Art and Design Building, 408 E Peabody Dr, Champaign, IL 61820, USA",ChIJvc6_RTvXDIgRCSHG5wEODhY," Art andDesign Building,Urbana,United States",40.1018339,-88.2324998,1,61820,OK,premise
3,ROOFTOP,"Lincoln Hall, 702 S Wright St, Urbana, IL 61801, USA",ChIJj-d5cT7XDIgRYqZrN-Z4yCY,"Lincoln Hall,Urbana,United States",40.1066066,-88.22823249999999,1,61801,OK,premise
4,ROOFTOP,"709 S Mathews Ave, Urbana, IL 61801, USA",ChIJyWA1Bj7XDIgRCMKLB-RaR-w,"FoellingerAuditorium,Urbana,United States",40.1059431,-88.2272864,1,61801,OK,"establishment,point_of_interest"
5,ROOFTOP,"300 Broadway Ave, Urbana, IL 61801, USA",ChIJoaZjB6DXDIgRy3JAHcaP1Hw,"Frame,Urbana,United States",40.1105839,-88.2070866,1,61801,OK,"establishment,point_of_interest,store"
6,ROOFTOP,"104 S Wright St, Urbana, IL 61801, USA",ChIJpTF5cEDXDIgRLEf18NBuXq8," TalbotLaboratory,Urbana,United States",40.1118523,-88.2282413,1,61801,OK,"establishment,point_of_interest,university"
7,APPROXIMATE,"Urbana, IL, USA",ChIJj0KEhJbXDIgRQWUMOa3LjfQ," FoodService Building,Urbana,United States",40.1105875,-88.2072697,1,,OK,"locality,political"
8,ROOFTOP,"Regency Park Shopping Center, 9294 Metcalf Ave, Overland Park, KS 66212, USA",ChIJtyCc8ZTrwIcRSL_fsxTzFb8," Micro &NanotechnologyLab,Urbana,United States",38.9607614,-94.6701054,1,66212,OK,"electronics_store,establishment,point_of_interest,store"
9,ROOFTOP,"English Building, 608 S Wright St, Urbana, IL 61801, USA",ChIJXUsmQj7XDIgRSkw8XkwlUJg," EnglishBuilding,Urbana,United States",40.1075683,-88.2281948,1,61801,OK,premise
10,ROOFTOP,"1710 E Windsor Rd, Urbana, IL 61802, USA",ChIJ6WMLbzbWDIgRMzepyMMOzOI,"Christie,Urbana,United States",40.084212,-88.18592199999999,1,61802,OK,"doctor,establishment,health,point_of_interest"
11,,,," InstGov & PublicAffairs Bldg,Urbana,United States",,,0,,ZERO_RESULTS,
12,ROOFTOP,"1203 West Nevada Street, 1205 1/2 W Nevada St #907, Urbana, IL 61801, USA",Ekk5MDcsIDEyMDMgV2VzdCBOZXZhZGEgU3RyZWV0LCAxMjA1IDEvMiBXIE5ldmFkYSBTdCwgVXJiYW5hLCBJTCA2MTgwMSwgVVNBIh8aHQoWChQKEgnB0sR6FtcMiBFnJiBHBGcuQhIDOTA3," 907 1/2W Nevada,Urbana,United States",40.1055427,-88.224705,1,61801,OK,subpremise
13,ROOFTOP,"David Kinley Hall, 1407 W Gregory Dr, Urbana, IL 61801, USA",ChIJ51_2pz3XDIgRm_U3cL9O62k," DavidKinley Hall,Urbana,United States",40.1036264,-88.22835429999999,1,61801,OK,premise
14,ROOFTOP,"1101 W Peabody Dr, Urbana, IL 61801, USA",ChIJvYcnWRfXDIgRcnVFDWn8kRk," NationalSoybeanRes Ctr,Urbana,United States",40.1010646,-88.2225715,1,61801,OK,"establishment,point_of_interest"
15,APPROXIMATE,"Urbana, IL, USA",ChIJj0KEhJbXDIgRQWUMOa3LjfQ,"Huang,Urbana,United States",40.1105875,-88.2072697,1,,OK,"locality,political"
16,GEOMETRIC_CENTER,"Goodwin at Ceramics Building, Urbana, IL 61801, USA",ChIJOeCmKWvXDIgRwtzCZ6f-igc," CeramicsBuilding,Urbana,United States",40.111654,-88.224066,1,61801,OK,"bus_station,establishment,point_of_interest,transit_station"
